ID,POS,Name,ORG,Lev,Age,T,OVR,POT,LEA,AD,WE,INT,Prone,STU,CON,PBABIP,HRR,STU vL,CON vL,PBABIP vL,HRR vL,STU vR,CON vR,PBABIP vR,HRR vR,STU P,CON P,PBABIP P,HRR P,PIT,STM,HLD,BF,1B,2B,3B,HR,BB,IBB,K,HP,SF,CI,SB,CS
39644,CL,JAMAL DARSHA,LAD,MLB,25,L,80,80,N,H,H,N,Durable,75,75,50,55,80,80,55,60,70,75,50,50,75,75,50,55,3,30,75,424,54,20,2,19,28,2,82,3,4,0,8,1
34525,RP,ANGEL DE ARMAS,CHC,MLB,26,R,80,80,H,N,H,N,Normal,65,55,50,55,65,55,50,55,65,55,50,55,65,55,50,55,2,25,50,239,30,7,0,10,17,0,61,3,1,0,5,0
40587,SP,CARLO DE LA SIERRA,LAD,MLB,25,R,80,80,N,N,N,N,Fragile,55,55,50,55,55,50,45,55,60,55,50,60,55,55,50,55,3,45,45,458,70,33,0,10,31,0,101,2,3,0,18,4
35528,SP,BENOÎT DESJARDINS,FLA,MLB,25,L,80,80,N,H,H,N,Normal,50,55,50,65,50,55,50,70,50,55,50,65,50,55,50,65,4,55,80,587,102,25,3,17,48,0,133,3,3,0,9,4
38286,RP,ALBERTO DI BIASE,ARI,MLB,26,R,80,80,N,N,H,N,Durable,80,55,55,70,80,55,55,70,80,55,55,65,80,55,55,70,2,30,50,241,32,8,0,7,21,1,76,1,3,0,9,1
37871,SP,PRINCE DI GRANDE,MIN,MLB,24,R,80,80,L,L,L,N,Normal,45,60,55,65,45,55,55,65,45,60,55,65,50,60,55,65,4,35,50,737,102,35,3,20,71,0,137,3,6,0,22,5
36574,SP,BENNY DIAZ,-,-,26,R,80,80,N,L,N,N,Fragile,45,50,50,60,45,50,50,60,45,50,50,65,45,50,50,60,3,55,75,11,4,1,0,0,0,0,1,0,0,0,0,0
27233,SP,COLT DIAZ,PIT,MLB,24,R,80,80,H,H,N,H,Normal,45,60,50,65,45,60,50,60,45,60,55,65,50,60,50,65,4,50,35,744,118,41,3,26,43,0,138,7,11,0,27,7
33684,SP,JONAS DRIGGERS,ARI,MLB,25,R,80,80,L,N,L,H,Fragile,55,75,60,55,55,70,55,55,60,75,60,55,60,75,60,60,5,60,35,501,69,29,5,20,44,0,96,4,4,0,24,2
38329,SP,RICHIE DUBE,STL,MLB,23,R,80,80,N,N,H,N,Normal,50,55,45,55,50,55,45,55,50,55,45,60,55,55,45,55,3,55,45,770,127,41,7,16,59,0,140,19,10,0,25,6
38361,RP,LODHI EL-RASIL,ANA,MLB,25,R,80,80,N,H,N,N,Fragile,80,50,55,70,70,50,50,60,80,55,55,80,80,50,55,70,2,25,65,194,21,7,0,3,21,0,54,2,1,0,1,1
40906,SP,ALEX ELFERS,CIN,AAA,25,R,80,80,N,N,N,N,Normal,75,55,55,55,75,55,55,55,75,50,55,55,75,55,55,55,3,60,60,67,7,2,1,2,7,0,29,0,0,0,1,0
23924,SP,TONY ENGEL,CIN,MLB,24,R,80,80,N,L,H,N,Fragile,55,55,50,55,55,55,50,55,55,55,50,55,55,60,50,55,4,45,50,544,86,34,4,21,35,0,106,6,1,0,21,4
34149,SP,JIM ENGLISH,OAK,MLB,24,R,80,80,N,H,N,N,Normal,50,70,50,65,50,65,45,60,55,70,50,70,50,70,50,65,4,65,45,742,117,40,3,27,37,0,153,8,6,0,22,5
31995,RP,ZACH ERICKSEN,HOU,MLB,24,L,80,80,N,H,N,N,Normal,70,60,50,55,70,60,50,55,70,60,50,55,70,60,50,55,4,30,55,237,35,8,0,6,20,0,54,3,0,0,4,1
37641,CL,AUSTIN ESKENAZI,CWS,AAA,26,R,80,80,N,N,N,N,Fragile,80,60,50,50,80,60,50,50,80,60,55,50,80,60,50,50,3,30,40,217,27,10,0,12,14,1,73,6,2,0,1,1
36092,RP,SAMMY ESPANA,MON,MLB,26,R,80,80,H,N,H,H,Fragile,70,50,50,55,50,50,45,50,80,55,55,65,70,50,50,55,2,25,50,229,31,5,0,2,18,3,63,0,2,0,3,1
27676,SP,VINCENZO ESPOSITO,CWS,MLB,24,R,80,80,H,N,H,N,Normal,50,50,55,65,50,50,55,70,50,50,55,65,50,50,55,65,3,35,55,676,107,32,1,16,65,0,111,4,9,0,26,10
37429,RP,JAY ESTOLAS,CWS,MLB,25,R,80,80,H,N,H,N,Normal,65,50,50,55,60,50,50,55,70,50,50,60,65,50,50,55,4,55,55,386,67,12,2,8,23,1,97,4,1,0,10,3
31402,RP,GUIDO FALINI,COL,MLB,25,R,80,80,N,N,H,N,Durable,70,40,50,80,75,40,50,80,70,40,50,75,70,40,50,80,2,25,35,232,30,8,2,3,30,0,61,0,1,0,3,2
36042,SP,BENJAMIN FAULK,MIL,MLB,25,L,80,80,N,N,N,H,Normal,55,65,50,60,55,65,50,60,55,60,50,60,55,65,50,60,4,45,80,691,120,35,2,17,43,0,139,6,4,0,4,5
41030,SP,JETT FLORES,TB,MLB,25,R,80,80,L,H,N,N,Fragile,50,60,55,60,50,55,55,60,55,60,55,65,55,60,55,60,3,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0
22743,CL,MÁRIO FUENTES,MIN,MLB,28,R,80,80,N,N,L,N,Fragile,55,55,55,75,55,55,55,70,55,55,55,75,65,55,55,75,2,35,70,290,51,11,1,2,17,3,66,6,1,1,2,0
34603,SP,KENNY FUGIEL,CLE,MLB,24,R,80,80,N,H,N,N,Fragile,45,70,50,70,45,65,50,65,45,70,50,70,45,75,50,70,4,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0
15573,SP,REX GALENSKI,PIT,MLB,34,R,80,80,N,N,N,L,Durable,45,75,50,55,45,70,50,55,45,80,55,60,45,75,50,55,3,70,55,677,89,27,2,23,33,0,129,7,4,0,18,1
40584,SP,ELDER GALICIA,CLE,MLB,25,R,80,80,N,N,N,L,Fragile,60,60,45,55,60,55,45,50,60,60,45,55,60,60,45,55,3,55,55,695,98,22,2,19,53,0,164,4,4,0,14,4
34045,RP,ROY GALVEZ,TEX,MLB,25,R,80,80,N,N,H,N,Normal,55,55,50,60,55,60,50,65,60,55,50,60,55,55,50,60,4,55,60,400,61,11,4,4,29,3,98,2,1,0,8,2
29613,RP,JEREMY GAMBLE,OAK,MLB,24,R,80,80,N,H,N,N,Normal,70,50,50,55,65,50,50,55,75,50,55,60,70,50,50,55,2,25,55,47,6,2,0,2,8,0,9,0,0,0,0,1
34647,RP,LEVERETT GERWIG,TEX,MLB,26,R,80,80,N,L,N,N,Fragile,70,50,50,55,70,50,50,55,70,50,50,55,75,50,50,55,3,30,60,211,31,9,1,7,19,1,56,2,3,0,2,0
34627,SP,PEPÉ GIAMPÀ,NYM,MLB,25,R,80,80,N,N,N,L,Durable,50,70,55,80,50,65,55,75,50,70,60,80,50,70,55,80,6,45,55,719,102,39,4,8,49,0,131,3,4,0,16,5
33441,SP,JEFFREY GIRDWOOD,MIL,MLB,26,R,80,80,L,L,N,N,Normal,55,50,55,65,55,50,55,65,55,50,55,70,60,50,55,65,4,55,80,540,65,22,2,10,43,0,131,4,4,0,10,3
38836,SP,SHANE GRETZINGER,BOS,MLB,23,R,80,80,N,N,N,N,Normal,45,70,50,65,45,70,45,65,50,70,50,70,50,70,50,65,3,55,55,781,129,46,3,20,47,0,134,5,3,1,10,4
39143,RP,GABE GRUBB,TB,MLB,25,R,80,80,H,H,N,N,Durable,70,55,50,65,55,50,50,60,75,55,50,70,70,55,50,70,2,30,40,270,36,12,1,7,29,6,53,3,3,0,4,1
37615,RP,RYAN HAAS,TEX,MLB,23,R,80,80,N,N,N,N,Normal,55,60,50,70,45,55,50,55,65,60,55,75,75,60,50,70,2,25,55,219,27,14,1,7,23,0,46,3,0,0,3,1
31360,SP,CAMERON HANNA,MON,MLB,25,L,80,80,N,L,N,H,Normal,50,60,55,70,55,65,60,80,50,60,55,65,50,60,55,70,5,35,40,784,132,41,7,28,43,0,143,4,7,0,27,7
36747,RP,BOBBY HARBACH,HOU,MLB,26,R,80,80,N,N,N,N,Fragile,55,65,55,70,55,65,55,70,55,65,50,70,60,65,55,70,2,30,50,263,33,7,1,6,19,1,64,1,0,0,2,1
40640,CL,ELÍAS HERNÁNDEZ,ATL,MLB,27,R,80,80,N,N,N,N,Fragile,80,45,55,55,75,45,50,50,80,50,55,60,80,45,55,60,2,25,35,241,29,4,1,4,26,3,75,2,0,0,2,2
36523,SP,HERNÁN HERRERA,BOS,MLB,26,R,80,80,N,N,N,N,Fragile,50,55,45,60,50,55,45,60,50,55,50,55,50,60,45,60,4,50,50,64,11,1,0,0,1,0,15,0,0,0,0,0
32450,SP,JULIAN HICKS,SF,MLB,24,L,80,80,N,N,N,H,Fragile,55,50,50,55,55,50,50,55,55,50,50,55,65,50,50,55,5,35,75,573,97,29,1,23,63,3,113,12,3,1,5,4
40892,RP,CHING-WEI HO,WAS,MLB,24,R,80,80,N,H,N,H,Normal,55,55,50,65,60,55,50,70,55,55,50,65,65,55,50,65,2,25,80,145,20,12,0,2,14,4,31,1,0,0,1,2
37950,SP,BRANDON HOANG,ANA,MLB,25,R,80,80,N,N,N,N,Fragile,45,65,50,55,50,65,50,55,45,65,50,55,50,65,50,55,4,70,30,446,68,25,2,12,28,1,76,3,2,0,29,4
37681,CL,AVERY HOOPER,TEX,MLB,27,R,80,80,N,N,N,N,Durable,80,60,55,75,75,55,55,70,80,60,55,75,80,60,55,75,2,30,35,292,40,14,0,6,22,2,95,5,4,0,7,1
38662,RP,SEBASTIAN HUALPA,PIT,MLB,25,R,80,80,N,H,H,N,Normal,80,50,55,45,80,50,55,50,80,50,55,45,80,50,55,50,4,35,50,260,34,11,2,13,19,0,83,5,2,0,7,1
39221,SP,MIGEL IRIZARRY,STL,MLB,23,R,80,80,N,N,N,N,Normal,40,80,55,80,40,80,55,75,40,80,55,80,40,80,55,80,5,55,60,882,151,45,5,20,44,0,131,8,4,0,26,3
17460,RP,ROBERTO JARRIN,MIN,MLB,26,R,80,80,N,N,N,N,Normal,70,45,55,70,70,45,55,70,65,45,55,70,80,50,55,75,2,25,40,231,38,9,1,4,27,0,54,1,2,0,7,3
32149,SP,HUGH JAUREGUI,DET,MLB,24,R,80,80,N,N,N,N,Fragile,50,55,50,55,45,55,45,50,50,55,50,60,50,55,50,60,4,55,50,584,95,26,1,13,44,1,138,4,6,0,10,8
41380,RP,CARLOS JIMÉNEZ,-,-,29,R,80,80,N,H,N,N,Fragile,60,55,50,55,60,55,50,55,60,55,50,55,60,55,50,55,2,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0
40671,SP,SALVADOR JIMÉNEZ,NYY,MLB,25,L,80,80,L,H,H,L,Durable,55,65,55,65,55,70,55,70,55,65,55,65,55,65,55,65,5,50,70,482,74,21,1,12,42,0,109,2,6,1,6,2
34053,SP,D.J. JONES,SD,MLB,25,R,80,80,N,N,N,N,Normal,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,3,60,70,906,137,42,4,18,73,0,210,10,7,0,33,5
31998,CL,JACK JONES,MIL,MLB,25,R,80,80,N,N,N,H,Normal,65,75,60,80,60,70,55,80,70,75,65,80,75,75,60,80,2,30,65,326,54,19,3,5,11,1,81,3,5,0,2,1
38632,SP,SETH JONES,PIT,MLB,24,L,80,80,L,N,N,H,Durable,50,60,50,55,50,60,50,55,50,60,50,55,65,60,50,55,5,45,70,469,88,17,0,14,42,0,85,3,4,0,7,2
31132,SP,SHELDON JONES,HOU,MLB,24,R,80,80,N,H,N,N,Normal,50,55,45,60,50,55,45,55,50,55,45,60,50,60,45,60,6,40,55,553,81,28,5,17,41,0,129,2,4,0,10,3
30983,SP,MARC JOPSON,CWS,MLB,24,L,80,80,N,N,N,H,Fragile,50,65,50,60,50,70,50,70,45,65,50,60,50,65,50,65,4,65,75,799,142,35,4,22,53,1,145,3,4,0,12,6
38105,RP,IAN JOYCE,BAL,MLB,24,R,80,80,N,N,N,N,Normal,65,45,50,75,50,45,45,55,80,50,55,80,80,45,50,80,2,20,25,250,36,12,1,6,28,0,63,1,0,0,10,1
36357,RP,JEREMIAH KAPITAN,PHI,MLB,22,L,80,80,N,H,N,H,Normal,70,45,55,60,80,50,70,80,55,45,50,55,70,50,55,65,2,30,80,105,13,5,0,6,11,2,25,0,0,0,3,1
33293,RP,MAX KINNISON,TEX,MLB,24,R,80,80,N,H,H,N,Normal,80,45,55,55,60,45,50,50,80,50,55,65,80,45,55,55,2,25,50,246,33,6,1,8,23,0,75,3,2,0,2,2
34952,RP,ANDREW KRUEGER,BOS,MLB,25,R,80,80,N,H,N,N,Durable,65,60,55,50,70,60,55,55,65,60,50,50,80,60,55,50,2,35,30,246,31,12,2,7,25,2,51,6,4,0,11,0
27275,SP,JAN KÖSTER,CLE,MLB,24,R,80,80,H,H,H,N,Fragile,50,55,50,50,50,55,50,50,50,55,50,50,55,55,50,50,5,60,55,665,82,34,1,23,50,0,140,3,4,0,19,4
41052,SP,SIEGBERT LANGE,SD,MLB,24,R,80,80,L,H,N,N,Normal,65,60,55,70,55,60,55,65,70,65,60,75,65,60,55,70,5,50,55,898,145,48,6,13,64,0,216,5,5,0,29,8
33969,SP,J.L. LAPLANTE,NYM,MLB,25,R,80,80,N,N,N,N,Fragile,50,55,50,55,50,55,50,55,50,55,50,55,60,55,50,55,5,75,55,767,98,41,5,21,60,0,155,6,6,0,23,6
32120,SP,RICHIE LAUGHLIN,OAK,MLB,25,R,80,80,H,N,H,N,Normal,45,60,55,60,45,60,55,60,45,60,55,60,50,70,55,60,4,55,65,793,104,41,4,15,56,0,152,4,7,0,12,8
38275,RP,RON LENIHAN,PHI,MLB,25,R,80,80,H,H,H,L,Fragile,65,55,55,60,65,55,55,60,70,55,55,60,80,55,55,60,5,35,60,205,28,7,1,10,19,1,54,2,1,0,2,0
38528,SP,TRISTEN LUNSFORD,KCR,MLB,26,R,80,80,N,N,H,H,Normal,50,55,50,60,50,55,50,55,55,55,55,60,50,55,50,60,3,35,55,409,40,13,0,15,39,0,83,5,1,0,10,4
38504,RP,DURGHA MALIKZADA,FLA,MLB,26,R,80,80,N,L,N,N,Durable,80,55,50,55,80,55,50,55,80,55,50,55,80,55,50,60,2,25,35,235,37,8,0,10,22,0,63,3,1,1,3,0
37582,RP,RYON MALONE,ATL,MLB,26,L,80,80,N,N,N,N,Fragile,65,50,50,60,75,50,55,75,60,50,50,55,65,50,50,60,3,40,75,292,25,11,1,9,27,2,81,0,1,0,5,1
34002,CL,YUSIF MAMMADOV,KCM,MLB,24,R,80,80,N,N,N,N,Normal,80,35,50,75,80,35,50,75,80,35,50,80,80,35,50,80,3,30,60,302,41,12,1,3,47,0,96,0,5,0,7,1
29446,SP,STINKY MARES,SD,MLB,25,L,80,80,H,N,H,N,Durable,65,55,50,50,65,55,50,50,65,55,50,50,65,55,50,50,4,55,60,754,117,32,0,35,71,0,167,5,6,0,19,7
38591,RP,CARL MCBETH,NYM,MLB,25,R,80,80,N,N,H,H,Fragile,70,65,55,70,70,65,55,70,70,65,55,75,70,65,55,70,5,30,40,257,45,6,2,4,18,1,51,1,3,0,10,1
38715,SP,CHARLIE MCCARTHY,ARI,MLB,26,R,80,80,N,N,N,L,Fragile,65,40,50,65,65,40,50,65,65,40,50,65,65,40,50,65,4,55,65,456,62,11,1,6,69,2,95,11,4,0,12,4
40068,RP,CHASE MCCAULEY,ARI,MLB,27,L,80,80,N,N,N,H,Durable,50,80,55,65,55,80,65,80,45,80,55,60,50,80,55,65,3,30,80,685,109,27,3,32,30,0,88,3,5,1,6,3
39676,SP,B.J. MICHALSKI,CIN,MLB,24,L,80,80,N,H,N,H,Fragile,50,65,55,80,50,65,55,80,50,65,55,80,50,65,55,80,5,50,80,763,108,42,1,24,66,0,149,5,3,0,14,5
38901,SP,BILL MICHELS,ANA,MLB,25,R,80,80,N,N,N,H,Durable,50,60,55,75,45,55,50,65,55,60,55,80,50,60,55,75,5,50,65,834,148,26,1,23,60,0,178,4,3,0,26,3
33987,SP,JOSH MINTO,FLA,MLB,24,R,80,80,N,N,N,N,Normal,55,65,50,50,50,60,50,45,65,65,55,50,55,65,50,50,5,50,65,917,148,38,3,23,51,0,234,17,10,0,16,4
38905,SP,DEREK MINTZ,TB,MLB,23,R,80,80,N,N,H,N,Fragile,55,60,55,70,50,60,55,70,55,60,60,75,75,70,55,80,5,75,45,104,16,7,0,2,6,1,27,0,1,0,5,0
34162,RP,ATSUSHI MIYAZAWA,MON,MLB,24,L,80,80,H,H,N,N,Fragile,55,60,55,65,70,60,55,75,50,60,50,60,80,60,55,65,2,25,75,190,25,18,1,6,15,6,38,7,1,0,2,1
34515,CL,MAXIMILIANO MONCADA,SEA,MLB,25,R,80,80,N,H,N,N,Normal,80,50,50,65,75,50,50,60,80,50,55,70,80,50,50,65,2,25,60,142,16,4,0,3,14,2,47,0,1,0,1,1
30174,RP,CARLO MONTEVERDI,FLA,MLB,25,R,80,80,N,H,N,N,Fragile,65,55,50,65,60,50,50,65,65,55,50,65,65,55,50,65,3,25,50,169,22,2,1,6,13,0,43,5,1,0,3,0
37255,SP,AUSTIN MOORE,NYY,MLB,25,L,80,80,N,L,N,N,Durable,55,55,50,55,55,55,50,55,55,55,50,55,55,60,50,60,4,50,65,613,100,21,1,13,43,0,148,19,2,1,5,6
37944,RP,EMERSON MURALLES,PHI,MLB,25,R,80,80,N,H,N,H,Fragile,65,50,55,65,60,50,55,65,70,50,55,65,65,50,55,65,4,60,40,488,75,20,3,12,52,1,100,6,2,0,12,4
32409,SP,CALVIN NEILSEN,FLA,MLB,25,R,80,80,N,H,H,N,Normal,50,55,50,65,50,55,50,60,50,55,50,65,50,55,50,70,4,50,50,721,98,20,3,17,52,0,143,4,3,1,19,4
38683,CL,THOMAS NEWALL,CIN,AAA,25,R,80,80,L,H,H,N,Normal,80,65,55,50,80,65,55,50,80,65,55,50,80,65,55,60,2,25,35,225,30,10,0,8,17,0,69,3,0,0,1,0
31003,RP,MAX NIEMEYER,OAK,MLB,25,R,80,80,N,L,N,N,Normal,65,55,50,50,65,55,50,55,65,55,50,50,70,55,50,50,4,50,35,577,83,28,3,24,44,0,118,13,8,0,17,3
40988,SP,FUZZY NOTHSTEIN,SD,MLB,24,R,80,80,N,L,N,L,Normal,55,60,50,55,55,60,50,50,60,65,50,55,65,60,50,55,6,50,55,857,137,42,3,29,53,0,186,3,11,0,20,5
31357,SP,ALFONZO NUNEZ,CIN,AAA,25,R,80,80,N,N,N,N,Durable,50,55,50,60,50,55,50,60,50,55,50,60,55,55,50,60,4,50,55,420,63,22,1,13,44,0,86,5,8,0,12,2
40495,RP,MARCONI ORTEGA,MIL,MLB,24,L,80,80,L,H,N,H,Fragile,70,65,50,55,75,70,55,65,65,65,50,55,70,65,50,55,5,55,65,362,53,17,2,13,22,1,99,1,1,0,7,1
