ID,POS,Name,ORG,Lev,Age,T,OVR,POT,LEA,AD,WE,INT,Prone,STU,CON,PBABIP,HRR,STU vL,CON vL,PBABIP vL,HRR vL,STU vR,CON vR,PBABIP vR,HRR vR,STU P,CON P,PBABIP P,HRR P,KN,KNP,PIT,STM,HLD
35195,RP,TOMAS PINEDA,OAK,MLB,25,L,60,60,N,H,H,L,Fragile,55,40,55,60,50,40,55,60,55,40,55,60,55,40,55,60,-,-,4,55,65
36640,SP,DUSTIN SUBA,PIT,MLB,26,R,60,60,N,N,N,N,Normal,45,55,55,50,45,55,55,50,45,55,55,50,50,55,55,50,-,-,3,55,55
40070,SP,PERRY VAN METER,STL,MLB,30,R,60,60,N,N,H,N,Fragile,45,55,55,65,45,55,55,65,45,55,55,65,45,55,55,65,-,-,5,50,50
33570,RP,ELIJAH WEIGAND,KCM,MLB,26,R,60,63,L,N,N,N,Normal,55,45,55,65,50,45,55,60,55,45,55,65,65,45,55,70,-,-,2,30,50
41112,SP,FLYNN BRAY,OAK,MLB,35,R,59,59,H,N,H,N,Normal,45,50,55,60,45,50,55,55,45,50,60,60,45,50,55,60,-,-,5,40,60
35528,SP,BENOÎT DESJARDINS,FLA,MLB,25,L,59,59,N,H,H,N,Normal,45,50,50,60,45,50,50,60,45,50,50,55,45,50,50,60,-,-,4,55,80
22743,CL,MÁRIO FUENTES,MIN,MLB,28,R,59,59,L,N,L,N,Fragile,50,50,55,60,50,50,55,55,50,50,55,65,55,50,55,60,-,-,2,35,70
33589,RP,A.J. KUMADA,HOU,MLB,25,R,59,59,N,N,N,H,Normal,55,50,45,50,50,50,45,45,65,50,50,55,55,50,45,50,-,-,2,25,70
32842,SP,KURT SPATES,ARI,MLB,25,R,59,62,N,N,N,N,Normal,45,55,55,50,45,55,50,50,50,55,55,55,50,55,55,50,-,-,4,55,35
39156,SP,LIONEL STEINER,MON,MLB,25,L,59,62,N,H,H,N,Durable,45,55,50,55,50,55,55,55,45,55,50,50,45,55,50,55,-,-,3,50,75
39415,SP,BRYAN STOKUS,CIN,MLB,23,L,59,78,H,N,N,N,Normal,45,55,55,50,50,55,60,55,45,55,55,50,55,60,55,50,-,-,4,75,75
32388,SP,MING-CHIH TSENG,PHI,MLB,24,R,59,69,N,N,N,N,Fragile,45,55,50,50,45,55,50,50,45,55,50,50,50,60,50,55,-,-,4,55,35
40024,SP,VENANCIO ÁLVAREZ,BOS,MLB,26,L,59,59,N,H,H,H,Durable,50,50,55,50,55,55,55,55,50,50,55,50,50,50,55,50,-,-,4,40,75
37579,SP,CLANCY BESSEY,WAS,MLB,23,R,58,58,N,L,L,L,Normal,45,50,55,65,45,50,55,65,45,50,55,60,45,50,55,65,-,-,5,45,35
41117,RP,RUI BI,TOR,MLB,25,L,58,58,N,N,L,N,Fragile,55,45,50,50,65,50,50,55,50,45,50,50,55,45,50,50,-,-,2,30,65
37420,RP,ANTHONY BONNET,DET,MLB,27,L,58,66,L,N,N,N,Durable,65,45,55,45,80,50,60,50,60,45,50,45,75,45,55,55,-,-,4,30,75
13944,RP,ERIK CEDEÑO,HOU,MLB,24,R,58,60,N,N,H,H,Normal,50,50,50,60,45,50,50,55,55,50,50,60,55,50,50,60,-,-,3,20,40
29613,RP,JEREMY GAMBLE,OAK,MLB,25,R,58,58,N,H,N,N,Normal,55,45,50,50,55,45,50,50,60,45,55,55,55,45,50,50,-,-,2,25,55
34627,SP,PEPÉ GIAMPÀ,NYM,MLB,26,R,58,58,N,N,N,L,Durable,45,55,55,60,45,55,55,55,45,55,60,60,45,55,55,70,-,-,6,40,55
30983,SP,MARC JOPSON,CWS,MLB,25,L,58,62,N,N,N,H,Fragile,45,55,50,55,45,55,50,55,45,55,50,55,45,60,50,55,-,-,5,65,75
24813,RP,PATRIK LICHARD,OAK,AAA,24,R,58,58,N,N,N,N,Fragile,45,50,50,55,50,50,50,55,45,50,50,55,50,50,50,55,-,-,3,50,35
38901,SP,BILL MICHELS,ANA,MLB,26,R,58,61,N,N,N,H,Durable,45,50,55,60,45,50,50,55,50,50,55,65,45,50,55,60,-,-,5,50,65
30174,RP,CARLO MONTEVERDI,FLA,MLB,25,R,58,58,N,H,N,N,Fragile,55,50,50,55,55,45,50,55,55,50,50,55,55,50,50,55,-,-,3,25,50
35362,SP,BARTOLOMEU PEÑA,FLA,MLB,26,R,58,62,N,N,H,H,Iron Man,50,45,50,55,45,45,50,55,50,45,50,60,50,45,50,55,-,-,3,55,70
31796,RP,BRANDON ROBBINS,NYY,MLB,25,R,58,58,H,N,H,N,Fragile,50,50,50,55,50,50,50,55,50,50,55,55,50,50,50,55,-,-,4,30,40
39111,SP,BUCKEYE VASQUEZ,CHC,MLB,25,R,58,58,N,N,N,N,Normal,50,55,55,50,50,55,55,50,50,55,55,50,55,55,55,50,-,-,4,40,70
39564,RP,FELIX VERDECIA,STL,MLB,24,L,58,58,N,N,N,N,Normal,50,55,50,50,50,60,55,55,50,55,50,50,50,55,50,60,-,-,3,30,60
31334,SP,MYRON WALL,CLE,MLB,28,L,58,58,N,H,H,H,Normal,45,55,55,50,50,55,60,55,45,55,55,50,50,65,55,55,-,-,3,50,75
37023,CL,HENRY WATKINS,NYY,MLB,27,L,58,58,N,H,H,N,Normal,65,45,50,45,65,45,50,45,65,45,50,45,65,45,50,45,-,-,2,25,80
37557,SP,CARTER CARPENTER,KCM,MLB,26,R,57,65,L,N,L,N,Fragile,45,45,55,60,45,45,55,60,45,45,55,60,55,45,55,65,-,-,4,50,55
27301,RP,JOSH DAO,CLE,MLB,24,R,57,57,N,H,H,H,Normal,50,50,55,50,50,50,50,50,55,50,55,55,50,50,55,50,-,-,2,25,50
40587,SP,CARLO DE LA SIERRA,LAD,MLB,26,R,57,57,N,N,N,N,Fragile,50,50,50,50,50,50,50,45,50,50,50,50,50,50,50,50,-,-,3,45,45
34149,SP,JIM ENGLISH,OAK,MLB,25,R,57,57,N,H,N,N,Normal,45,55,50,55,45,55,45,50,50,55,50,55,45,55,50,55,-,-,4,65,50
36092,RP,SAMMY ESPANA,MON,MLB,26,R,57,57,N,N,H,H,Fragile,55,50,50,50,45,45,45,45,65,50,55,55,55,50,50,50,-,-,2,25,50
34647,RP,LEVERETT GERWIG,TEX,MLB,26,R,57,57,N,L,N,N,Fragile,55,45,50,50,55,45,50,50,55,45,50,50,60,45,50,50,-,-,3,30,60
37615,RP,RYAN HAAS,TEX,MLB,23,R,57,60,N,N,N,N,Normal,50,50,50,55,45,50,50,50,55,55,55,65,60,50,50,55,-,-,2,25,55
17460,RP,ROBERTO JARRIN,MIN,MLB,27,R,57,62,N,N,N,N,Normal,55,45,55,55,55,45,55,55,50,45,55,55,65,45,55,65,-,-,2,25,40
40988,SP,FUZZY NOTHSTEIN,SD,MLB,25,R,57,57,N,L,N,L,Normal,50,55,50,50,45,50,50,45,50,55,50,50,50,55,50,50,-,-,6,45,55
27366,CL,LUÍS RODRÍGUEZ,ATL,MLB,24,R,57,57,N,H,N,N,Fragile,65,45,50,45,60,45,45,45,70,45,50,50,65,45,50,45,-,-,2,25,30
8974,SP,INOCENTE SALDANA,TEX,MLB,29,R,57,60,L,N,L,N,Iron Man,45,65,60,50,45,60,60,50,45,65,60,50,50,65,60,55,-,-,5,75,75
29235,SP,IZZY STOVALL,HOU,MLB,24,L,57,57,N,N,N,N,Fragile,45,50,55,55,45,50,60,55,45,50,55,55,50,50,55,55,-,-,5,55,65
40871,SP,HANG SUNG,BOS,MLB,25,R,57,57,H,H,H,N,Fragile,50,55,55,50,50,55,55,45,55,55,60,50,50,55,55,50,-,-,5,40,40
38837,RP,MICKEY BRAGG,ATL,MLB,26,R,56,56,N,N,N,H,Normal,55,45,55,50,55,45,50,50,60,45,55,50,55,45,55,50,-,-,4,25,25
31440,SP,STAR CARRANZA,BOS,MLB,25,L,56,56,L,N,H,N,Fragile,45,50,50,55,50,50,50,55,45,50,50,55,45,50,50,55,-,-,3,45,75
36747,RP,BOBBY HARBACH,HOU,MLB,26,R,56,56,N,N,N,N,Fragile,45,55,55,55,50,55,55,55,45,55,50,55,50,55,55,55,-,-,2,30,50
40892,RP,CHING-WEI HO,WAS,MLB,24,R,56,56,N,H,N,H,Normal,50,50,50,55,50,50,50,60,50,50,50,55,55,50,50,55,-,-,2,25,80
32363,RP,CHUN-JIE HO,MIL,MLB,25,R,56,56,H,L,N,N,Fragile,55,55,55,45,50,50,50,45,65,55,60,50,60,55,55,45,-,-,2,30,65
36357,RP,JEREMIAH KAPITAN,PHI,MLB,22,L,56,61,N,H,N,H,Normal,55,45,55,55,80,45,70,70,50,45,55,50,55,45,55,55,-,-,2,25,80
40068,RP,CHASE MCCAULEY,ARI,MLB,27,L,56,56,N,N,N,H,Durable,45,70,55,55,45,80,65,70,45,65,55,50,45,70,55,55,-,-,3,30,80
41087,RP,MING-HSU PAN,WAS,MLB,29,L,56,56,N,H,N,L,Normal,60,45,55,50,60,45,55,50,60,45,55,50,60,45,55,50,-,-,2,35,55
38287,SP,ALEXANDER SMITH,STL,MLB,26,R,56,56,N,N,N,L,Fragile,45,55,55,55,45,55,55,55,45,55,55,55,45,55,55,55,-,-,4,40,40
38344,RP,SEBASTIAN SPAGNA,OAK,AAA,26,L,56,56,N,H,H,N,Fragile,50,55,55,45,55,60,60,50,50,55,50,45,50,55,55,45,-,-,2,45,75
33175,SP,DEVESU SWARNKAR,KCM,MLB,26,L,56,56,N,N,N,N,Normal,45,50,55,55,50,50,55,55,45,50,55,55,50,55,55,55,-,-,4,40,75
40635,RP,JAIMY VAN SCHOOTEN,MIL,MLB,23,R,56,56,N,N,N,L,Normal,50,50,50,50,45,45,45,45,55,50,50,50,50,50,50,50,-,-,3,55,75
32681,SP,JEREMIAH WOMACK,TEX,MLB,25,L,56,57,L,N,N,L,Durable,45,50,50,55,45,50,50,55,45,50,50,60,50,50,50,55,-,-,5,35,60
39663,RP,NATHAN AGUILERA,ARI,MLB,27,R,55,58,L,N,N,N,Durable,55,45,50,45,50,45,50,45,55,45,55,50,60,45,50,50,-,-,2,50,40
21999,RP,JUSTIN AYLING,PHI,AAA,23,R,55,55,N,N,N,N,Normal,55,50,50,45,55,50,45,45,55,50,50,45,55,50,50,45,-,-,3,40,70
32328,CL,ZANE BRASCH,ANA,MLB,26,R,55,55,H,H,H,H,Wrecked,55,50,50,45,50,45,45,45,70,50,55,50,60,50,50,45,-,-,2,25,35
34525,RP,ANGEL DE ARMAS,CHC,MLB,26,R,55,55,H,N,H,N,Normal,50,50,50,50,50,50,50,50,50,50,50,50,55,50,50,50,-,-,2,25,50
38662,RP,SEBASTIAN HUALPA,PIT,AAA,25,R,55,55,N,H,H,N,Normal,70,45,55,45,70,45,55,45,70,45,55,45,70,45,55,45,-,-,4,30,50
34162,RP,ATSUSHI MIYAZAWA,MON,MLB,24,L,55,58,H,N,N,N,Fragile,50,50,55,50,55,55,55,60,45,50,50,50,60,50,55,50,-,-,2,25,75
30882,SP,A.J. SCHNEIDER,BAL,MLB,24,R,55,73,N,N,N,N,Normal,45,50,50,55,45,50,50,50,45,50,50,55,50,50,50,55,-,-,5,80,65
34075,CL,CHENG-FEI TENG,BAL,MLB,26,R,55,55,N,N,N,N,Fragile,50,50,50,50,50,50,45,45,50,50,50,50,50,50,50,50,-,-,3,50,70
30407,SP,ZHAOQIAN ZHUANG,STL,MLB,24,L,55,55,L,H,L,H,Fragile,50,50,50,50,50,50,50,50,50,50,50,50,55,50,50,50,-,-,3,40,60
40989,SP,WILFREDO ANDRADE,NYY,MLB,35,R,54,54,H,H,H,H,Durable,45,65,55,50,40,65,55,50,45,65,55,50,45,65,55,50,-,-,3,60,20
33529,SP,DEREK CARPOZA,KCR,MLB,25,R,54,60,L,H,N,N,Normal,45,50,55,55,45,50,50,50,45,50,55,55,50,50,55,55,-,-,4,50,35
41380,RP,CARLOS JIMÉNEZ,TEX,MLB,29,R,54,54,N,H,N,N,Fragile,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-,-,2,30,55
38632,SP,SETH JONES,PIT,MLB,24,L,54,68,L,N,N,H,Durable,45,50,50,50,45,50,50,50,45,50,50,50,55,55,50,55,-,-,5,45,70
40727,CL,REGIS LAPREE,KCM,MLB,25,L,54,56,N,N,N,N,Fragile,50,45,55,60,55,45,55,65,45,45,55,55,60,45,55,60,-,-,2,35,70
33420,RP,MELVIN MUNOZ,OAK,MLB,27,R,54,59,N,N,N,N,Normal,60,40,60,50,55,40,55,50,65,40,65,55,70,40,60,55,-,-,2,30,65
35473,RP,NASEER NADERI,FLA,MLB,26,R,54,54,N,H,H,L,Normal,50,50,45,45,50,50,45,45,50,50,45,45,50,50,45,45,-,-,5,60,40
32221,RP,GURMIT NATH,CIN,MLB,25,R,54,54,L,N,N,N,Fragile,60,50,50,45,60,50,50,45,60,50,50,45,60,50,50,45,-,-,2,25,65
31003,SP,MAX NIEMEYER,OAK,MLB,25,R,54,54,N,L,N,N,Normal,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-,-,4,50,40
