ID,POS,Name,ORG,Lev,Age,T,OVR,POT,LEA,AD,WE,INT,Prone,STU,CON,PBABIP,HRR,STU vL,CON vL,PBABIP vL,HRR vL,STU vR,CON vR,PBABIP vR,HRR vR,STU P,CON P,PBABIP P,HRR P,PIT,STM,HLD,BF,1B,2B,3B,HR,BB,IBB,K,HP,SH,SF,CI,SB,CS
26445,CL,GREGORY SANTOS,SEA,MLB,26,R,70,70,N,N,N,N,Normal,55,55,45,80,55,55,40,75,60,55,50,85,60,55,45,80,2,30,50,265,42,10,0,7,19,3,67,2,0.0,2,0,5,1
41370,SP,SPENCER STRIDER,ATL,MLB,26,R,66,70,N,H,N,N,Normal,65,50,55,50,55,50,50,50,70,50,55,50,70,50,55,50,4,50,45,233,28,11,0,6,25,0,67,0,0.0,1,0,9,0
26463,CL,RYAN WALKER,SF,MLB,29,R,70,70,N,H,H,N,Normal,60,60,55,55,55,60,50,50,65,60,60,65,60,60,55,60,2,30,40,284,31,11,0,4,21,1,89,3,1.0,1,0,2,0
32863,CL,JOSH HADER,HOU,MLB,31,L,68,68,N,H,H,N,Normal,75,50,65,45,80,50,80,50,70,50,60,45,75,50,65,45,3,25,50,255,36,9,2,5,20,1,84,3,1.0,2,0,0,0
26918,SP,GRAYSON RODRIGUEZ,BAL,MLB,25,R,62,68,N,L,N,N,Normal,55,55,50,50,55,55,50,50,50,55,50,50,55,55,50,55,4,55,55,368,50,12,2,6,26,1,98,5,3.0,2,0,13,1
40739,SP,CORBIN BURNES,AZ,MLB,30,R,67,67,N,N,H,N,Normal,50,55,60,55,45,55,55,55,50,55,60,60,50,55,60,55,5,65,45,822,116,37,3,15,50,0,183,6,3.0,6,0,16,4
1893,CL,ANDRES MUNOZ,SEA,MLB,26,R,67,67,N,N,N,N,Normal,70,45,55,65,70,45,50,60,70,45,60,70,75,45,55,70,3,30,50,71,12,5,0,0,7,0,20,0,1.0,1,0,0,0
47679,RP,ROKI SASAKI,LAD,MLB,23,R,53,67,N,N,N,H,Normal,55,50,55,50,50,45,55,45,55,50,55,50,70,50,55,50,3,65,55,143,19,6,1,5,14,0,27,4,0.0,0,0,2,1
51796,SP,NOAH SCHULTZ,CWS,MLB,22,L,45,67,L,L,H,N,Normal,45,45,55,50,50,45,65,55,45,45,55,50,60,50,55,60,5,55,50,220,27,6,0,6,29,2,39,8,1.0,2,0,3,2
36282,SP,KODAI SENGA,NYM,MLB,32,R,67,67,L,N,H,N,Normal,55,45,60,60,55,45,60,55,55,45,60,60,55,45,60,60,4,55,55,873,116,31,5,17,86,1,214,5,3.0,4,0,19,3
29336,SP,ZACK WHEELER,PHI,MLB,35,R,67,67,N,N,H,N,Normal,50,55,55,55,50,55,55,50,50,55,60,55,50,55,55,55,5,65,55,14,2,1,0,0,3,0,2,0,0.0,0,0,0,0
11,CL,JEFF HOFFMAN,TOR,MLB,32,R,66,66,N,N,N,N,Fragile,60,50,65,55,60,50,60,55,65,50,65,60,60,50,65,55,4,30,50,207,32,8,1,1,15,2,52,1,1.0,1,0,2,0
24479,SP,JARED JONES,PIT,MLB,24,R,55,66,N,N,N,N,Normal,50,55,55,50,50,55,50,50,50,55,55,50,55,55,55,50,4,60,50,294,40,19,2,13,22,1,60,6,0.0,1,1,6,1
20858,SP,DREW RASMUSSEN,TB,MLB,30,R,66,66,H,N,N,N,Normal,45,65,55,55,45,65,55,55,45,60,60,60,45,65,55,55,3,45,50,853,136,35,6,16,40,0,169,2,1.0,1,1,17,5
337,SP,TAJ BRADLEY,TB,MLB,24,R,51,65,N,H,N,N,Normal,50,50,55,45,50,50,55,45,50,50,55,45,55,60,55,50,4,50,45,780,123,32,4,29,60,4,172,6,3.0,6,0,26,8
39745,SP,KRIS BUBIC,KC,MLB,28,L,65,65,N,H,N,H,Normal,50,55,50,55,50,55,50,55,50,55,45,55,50,55,50,55,4,55,60,867,132,34,8,15,68,0,192,9,2.0,2,0,10,5
46079,SP,KYLE HARRISON,SF,MLB,24,L,53,65,N,N,N,N,Normal,50,50,55,50,50,50,55,50,50,50,55,50,55,55,55,55,4,60,55,759,95,47,3,20,47,3,182,9,2.0,8,0,9,7
46333,RP,ORION KERKERING,PHI,MLB,24,R,58,65,N,N,N,N,Normal,55,55,55,65,50,55,50,60,55,55,55,65,60,65,55,65,3,30,40,198,25,10,1,4,19,4,47,1,0.0,3,1,6,2
21213,SP,GEORGE KIRBY,SEA,MLB,27,R,64,65,N,N,H,N,Normal,45,80,55,50,50,80,50,50,45,80,55,50,50,80,55,50,5,60,50,758,134,36,0,32,36,0,171,3,0.0,5,0,23,7
45932,SP,EURY PEREZ,MIA,MLB,22,R,49,65,N,N,N,N,Normal,50,50,55,45,50,55,55,45,50,50,55,45,65,55,55,50,4,45,50,271,40,21,2,14,16,2,50,1,2.0,2,1,3,1
43890,CL,ABNER URIBE,MIL,MLB,25,R,56,65,N,N,N,N,Normal,65,40,65,55,60,40,60,50,70,45,75,60,80,45,65,70,3,30,45,136,21,5,0,3,19,1,42,2,0.0,0,0,2,0
41114,SP,YOSHINOBU YAMAMOTO,LAD,MLB,27,R,65,65,N,H,N,N,Normal,50,65,70,50,50,65,70,50,50,70,70,50,50,65,70,50,6,40,55,805,125,33,5,20,43,4,193,3,3.0,4,0,22,7
25999,SP,HUNTER GREENE,CIN,MLB,26,R,61,64,H,N,H,N,Normal,55,50,70,50,60,50,70,50,55,45,75,50,65,50,70,50,4,55,50,792,100,40,4,26,72,3,187,13,6.0,6,1,11,4
24447,SP,SHANE MCCLANAHAN,TB,MLB,28,L,64,64,N,H,N,N,Normal,55,60,55,50,55,60,55,50,50,60,55,50,55,60,55,50,4,55,65,763,121,39,2,24,66,1,151,2,1.0,6,0,18,5
1781,SP,LOGAN WEBB,SF,MLB,28,R,64,64,L,N,H,N,Normal,40,65,50,65,40,65,50,65,45,65,50,70,45,65,50,70,5,65,45,792,122,40,3,14,48,3,135,6,4.0,7,0,20,7
33752,CL,DEVIN WILLIAMS,NYY,MLB,30,R,64,64,N,H,N,N,Normal,75,40,65,60,65,40,65,55,80,40,65,65,75,40,65,60,3,30,40,252,30,7,0,8,33,3,69,2,0.0,0,0,1,0
189,CL,AARON BUMMER,ATL,MLB,31,L,63,63,N,N,N,N,Normal,55,45,40,80,60,45,45,85,55,45,40,80,55,45,40,80,4,30,55,260,42,12,1,3,18,3,76,1,1.0,1,0,1,0
31599,SP,TYLER GLASNOW,LAD,MLB,32,R,63,63,N,N,N,N,Fragile,60,50,55,45,55,50,55,45,60,55,60,45,60,50,55,45,4,50,55,519,85,22,1,16,32,1,140,5,2.0,1,0,9,2
22529,SP,MACKENZIE GORE,WSH,MLB,26,L,60,63,N,L,N,N,Normal,55,50,45,45,55,50,45,45,55,50,45,45,60,50,45,50,4,55,55,750,104,31,1,23,56,0,205,10,2.0,5,0,24,5
43093,CL,JUSTIN MARTINEZ,AZ,MLB,24,R,62,63,N,N,N,N,Normal,65,35,50,80,65,35,50,75,65,35,55,80,70,45,50,80,4,30,50,289,41,9,1,2,38,2,74,1,0.0,2,0,2,1
24956,SP,SPENCER SCHWELLENBACH,ATL,MLB,25,R,62,63,N,N,N,N,Normal,50,70,55,50,45,60,55,45,50,75,55,55,50,70,55,50,5,50,50,850,140,38,4,17,45,1,189,9,2.0,3,0,14,5
24285,SP,LOGAN GILBERT,SEA,MLB,28,R,62,62,N,H,H,N,Normal,50,60,60,50,50,65,55,50,45,60,60,50,50,60,60,50,5,65,45,852,123,37,6,22,46,3,201,3,2.0,2,0,17,5
21844,SP,SONNY GRAY,STL,MLB,35,R,62,62,N,N,N,H,Normal,50,55,55,50,50,55,55,50,50,55,55,50,50,55,55,50,6,55,55,724,96,46,6,8,52,1,178,8,2.0,4,0,21,1
19837,CL,RYAN HELSLEY,PHI,MLB,31,R,62,62,N,N,N,N,Normal,60,50,65,55,55,50,60,50,65,50,65,55,60,50,65,55,3,30,70,286,53,6,0,4,31,2,85,3,1.0,1,0,3,0
1936,RP,MATT BRASH,SEA,MLB,27,R,61,61,N,L,N,H,Normal,65,45,50,60,60,45,45,55,70,45,50,65,65,45,50,60,3,30,40,172,31,9,1,3,16,1,46,2,0.0,1,0,5,3
32127,SP,MAX FRIED,NYY,MLB,31,L,61,61,N,L,N,N,Normal,45,55,55,60,50,55,60,65,45,55,55,55,45,55,55,60,6,55,70,796,119,39,3,19,54,0,161,3,4.0,2,0,9,5
34931,RP,GRIFFIN JAX,MIN,MLB,30,R,61,61,H,N,H,H,Normal,55,55,55,50,55,55,55,50,60,55,55,55,55,55,55,50,5,30,45,250,33,8,0,5,20,3,69,1,0.0,2,0,4,2
26772,RP,CADE SMITH,CLE,MLB,26,R,61,61,N,N,N,N,Normal,65,50,55,55,65,50,55,55,60,45,55,55,65,50,55,60,3,25,50,242,33,7,1,5,20,2,67,2,1.0,3,0,1,2
24166,CL,GARRETT WHITLOCK,BOS,MLB,29,R,61,61,N,N,N,N,Normal,55,65,55,50,50,55,50,45,70,70,55,55,60,65,55,50,3,30,45,262,33,12,0,9,17,4,68,2,0.0,2,0,6,0
46232,SP,BRYAN WOO,SEA,MLB,25,R,61,61,N,N,N,N,Normal,50,70,65,50,50,70,60,45,50,70,70,50,50,70,65,50,4,55,45,767,120,38,5,23,43,2,178,9,3.0,4,0,21,10
642,SP,BRANDON WOODRUFF,MIL,MLB,32,R,61,61,H,H,N,N,Normal,55,50,55,45,55,50,55,45,55,50,55,45,55,50,55,45,4,55,50,540,71,25,0,15,45,1,147,6,2.0,5,0,19,2
43772,SP,HUNTER BROWN,HOU,MLB,27,R,60,60,N,N,N,N,Normal,55,55,55,50,55,55,50,50,55,55,55,50,55,55,55,50,6,45,40,804,135,30,3,31,65,1,206,3,0.0,5,1,28,5
29623,SP,JACOB DEGROM,TEX,MLB,37,R,60,60,N,N,N,N,Fragile,60,65,55,45,55,65,55,45,65,65,60,45,60,65,55,45,4,40,60,589,92,26,3,28,37,0,162,2,3.0,3,1,18,3
23896,SP,REID DETMERS,CIN,MLB,26,L,54,60,N,N,N,N,Normal,55,45,50,50,55,50,55,50,55,45,50,50,55,55,50,50,5,50,80,785,121,24,3,23,60,3,195,13,2.0,4,0,9,7
22534,RP,JEREMIAH ESTRADA,SD,MLB,26,R,60,60,N,N,N,N,Normal,75,45,55,50,70,45,55,45,80,45,55,50,75,45,55,50,3,25,55,125,14,5,1,5,15,0,39,0,0.0,0,0,1,0
45629,RP,BEN JOYCE,HOU,MLB,24,R,49,60,N,N,N,N,Normal,55,45,55,60,55,45,55,55,55,45,55,60,60,45,55,70,4,25,45,85,7,7,2,1,10,0,10,1,1.0,2,0,1,1
26544,SP,MICHAEL KING,PHI,MLB,30,R,60,60,N,N,N,N,Normal,50,50,55,50,50,45,50,50,55,50,55,55,50,50,55,50,3,55,50,797,112,35,4,22,77,2,199,5,3.0,4,0,23,3
34380,SP,REYNALDO LOPEZ,ATL,MLB,31,R,60,60,N,N,N,N,Normal,50,50,55,50,50,50,55,50,55,50,55,50,50,50,55,50,4,50,55,769,114,40,3,10,67,0,171,2,2.0,7,0,19,3
23745,SP,NOLAN MCLEAN,NYM,AAA,24,R,49,60,H,N,N,N,Normal,50,45,55,50,45,45,50,45,50,45,55,50,60,50,55,50,5,50,60,341,66,12,0,8,29,1,69,5,0.0,2,0,10,4
1625,SP,KUMAR ROCKER,TEX,MLB,25,R,55,60,N,N,N,N,Normal,50,55,55,45,50,55,55,45,50,55,55,45,55,55,55,50,4,45,50,139,20,6,0,3,9,0,28,0,0.0,1,0,2,0
26455,CL,TANNER SCOTT,LAD,MLB,31,L,60,60,N,L,N,N,Normal,60,40,55,70,70,45,60,80,55,40,55,65,60,40,55,70,2,30,45,234,28,11,1,4,23,1,72,0,1.0,0,1,0,0
30763,SP,BLAKE SNELL,LAD,MLB,32,L,60,60,N,N,N,N,Normal,65,40,55,50,75,45,55,55,65,40,55,50,65,40,55,50,4,45,55,754,106,37,2,17,87,0,208,3,2.0,2,0,8,4
39204,RP,BROCK STEWART,MIN,MLB,33,R,60,60,N,L,H,N,Normal,65,45,50,55,60,45,50,50,70,45,50,60,65,45,50,55,3,30,55,235,31,9,0,6,31,4,71,0,1.0,1,0,4,1
34722,SP,SANDY ALCANTARA,MIA,MLB,30,R,59,59,N,L,N,N,Normal,45,65,55,55,40,60,50,50,45,70,55,60,45,65,55,55,4,60,50,897,138,49,9,22,59,3,180,7,4.0,4,0,17,6
38249,SP,LUIS CASTILLO,SEA,MLB,32,R,59,59,H,N,N,N,Normal,50,55,55,50,50,55,55,45,50,60,60,50,50,55,55,50,4,60,50,790,114,43,4,24,53,3,207,8,2.0,3,0,19,8
1128,SP,DYLAN CEASE,SD,MLB,29,R,59,59,N,N,N,N,Normal,55,45,55,50,55,45,55,45,60,45,55,50,60,45,55,50,4,55,45,759,101,26,5,18,80,0,198,7,0.0,6,0,19,5
27403,RP,FERNANDO CRUZ,NYY,MLB,35,R,59,59,L,H,N,N,Normal,70,40,50,55,70,40,45,55,75,40,50,55,70,40,50,55,3,30,55,169,23,7,0,2,18,0,53,2,0.0,1,0,1,2
85,RP,BRUSDAR GRATEROL,LAD,MLB,27,R,59,59,N,N,N,N,Fragile,40,65,55,75,40,55,55,65,45,70,60,80,45,65,55,75,3,25,55,89,12,6,0,2,4,0,18,0,0.0,0,0,2,1
32180,CL,CHRIS MARTIN,TEX,MLB,39,R,59,59,H,N,H,N,Normal,45,80,50,55,45,80,50,55,45,75,50,55,45,80,50,55,4,30,55,243,44,10,0,2,16,2,56,3,1.0,1,0,2,0
40131,CL,ADRIAN MOREJON,SD,MLB,26,L,59,59,N,H,N,N,Normal,50,55,50,60,50,50,55,65,50,55,50,55,50,55,50,60,4,30,60,232,33,13,1,2,26,5,60,1,0.0,1,0,2,1
22064,RP,EVAN PHILLIPS,LAD,MLB,31,R,59,59,N,N,N,N,Normal,55,50,65,55,50,50,60,50,60,50,70,60,55,50,65,55,3,25,45,193,22,3,0,9,19,0,44,2,1.0,2,0,1,0
38692,SP,CRISTOPHER SANCHEZ,PHI,MLB,28,L,59,59,L,N,N,N,Normal,50,55,50,55,55,60,55,65,45,55,50,50,50,55,50,55,3,50,60,822,101,38,3,20,63,0,186,9,2.0,4,0,15,5
1216,SP,CLARKE SCHMIDT,NYY,MLB,29,R,59,59,N,H,H,N,Normal,50,50,55,50,50,50,50,50,50,50,55,50,50,50,55,50,6,50,55,673,98,29,9,14,50,4,160,10,0.0,7,0,21,5
20599,SP,JOSÉ SORIANO,LAA,MLB,26,R,59,59,N,H,L,L,Normal,50,45,55,65,50,45,55,55,55,45,55,70,50,45,55,65,5,50,50,791,106,27,5,30,68,2,194,5,3.0,5,0,17,2
41594,SP,BEN BROWN,CHC,MLB,26,R,58,58,N,L,N,N,Normal,50,45,55,50,50,45,55,50,50,45,55,50,55,45,55,50,4,45,50,716,95,28,3,15,58,0,179,7,3.0,2,0,24,3
1119,SP,GRANT HOLMES,ATL,MLB,29,R,58,58,N,N,N,L,Normal,50,50,50,50,45,45,50,50,50,50,50,55,50,50,50,55,5,50,50,764,114,28,2,17,48,0,175,5,2.0,2,0,23,2
31537,SP,NICK MARTINEZ,CIN,MLB,35,R,58,58,N,N,N,N,Normal,45,65,50,50,45,65,50,50,40,60,50,50,45,65,50,50,6,45,55,738,126,38,2,13,41,1,155,3,0.0,6,0,17,7
33716,RP,A.J. PUK,AZ,MLB,30,L,58,58,N,N,N,N,Fragile,65,50,55,50,75,50,55,55,60,50,50,50,65,50,55,50,5,30,50,283,41,14,2,4,23,2,83,2,1.0,2,0,2,1
392,SP,FRAMBER VALDEZ,HOU,MLB,31,L,58,58,N,L,N,N,Normal,50,50,55,55,55,50,55,65,45,50,55,50,50,50,55,55,5,55,65,812,108,36,4,20,89,2,176,9,2.0,6,0,12,7
24121,CL,WILL VEST,DET,MLB,30,R,58,58,N,N,N,N,Normal,50,50,55,60,50,50,50,55,55,50,55,65,50,50,55,60,4,30,50,243,34,12,0,5,19,0,62,3,1.0,0,0,0,0
26713,SP,ANDREW ABBOTT,CIN,MLB,26,L,57,57,N,N,N,N,Normal,55,55,55,45,50,55,55,45,55,55,50,45,55,55,55,45,4,50,55,571,79,29,2,20,42,1,144,3,0.0,6,0,8,2
43680,SP,TANNER BIBEE,CLE,MLB,26,R,57,57,N,N,N,N,Normal,50,55,55,50,45,55,55,45,50,55,55,50,50,55,55,50,4,55,45,796,109,33,3,24,56,2,168,13,1.0,5,0,17,6
24474,SP,KYLE BRADISH,BAL,MLB,29,R,57,57,N,H,N,N,Normal,50,50,55,55,50,50,55,50,50,50,55,55,50,50,55,55,4,55,50,75,11,5,0,0,10,1,14,0,1.0,0,0,0,0
20082,SP,DUSTIN MAY,BAL,MLB,28,R,57,57,N,H,N,N,Normal,50,50,65,50,50,50,60,50,50,50,70,50,50,50,65,50,5,50,55,618,97,29,2,9,58,1,129,11,0.0,3,0,14,4
48137,SP,JACOB MISIOROWSKI,MIL,MLB,23,R,52,57,N,N,N,N,Normal,70,40,65,50,70,40,60,50,75,40,65,50,70,40,65,50,4,50,45,637,91,20,4,18,89,0,163,12,2.0,5,0,14,5
19,SP,AARON NOLA,PHI,MLB,32,R,57,57,N,N,H,H,Normal,45,70,55,45,45,65,55,45,50,70,55,45,45,70,55,45,5,60,40,786,119,44,6,35,48,2,180,2,0.0,4,0,22,7
26189,SP,REESE OLSON,DET,MLB,26,R,57,57,H,L,N,N,Normal,50,50,55,55,50,50,55,55,50,50,55,55,50,55,55,55,5,45,45,756,102,31,6,25,65,2,169,5,3.0,3,0,14,5
38025,RP,JOSE ALVARADO,PHI,MLB,30,L,56,56,N,N,N,N,Normal,55,45,55,60,50,45,55,60,55,45,50,60,55,45,55,60,2,30,45,299,51,13,1,3,39,2,72,0,0.0,3,0,6,2
1799,CL,DAVID BEDNAR,TB,MLB,30,R,56,56,N,N,N,N,Normal,55,50,55,50,50,50,55,50,55,50,55,50,55,50,55,50,3,30,50,260,32,12,1,7,27,2,60,2,0.0,1,0,3,1
46728,CL,BLAKE BURKHALTER,PIT,AAA,24,R,41,56,N,N,N,N,Normal,50,45,55,35,50,45,55,35,50,45,55,35,65,55,55,40,3,50,45,71,12,3,0,4,8,0,11,1,0.0,0,0,1,1
25263,RP,AROLDIS CHAPMAN,BOS,MLB,37,L,56,56,L,L,L,N,Normal,80,35,45,50,80,35,50,55,75,35,45,50,80,35,45,50,3,30,40,173,16,4,0,9,25,1,52,2,0.0,0,0,0,0
44357,CL,ANGEL CHIVILLI,COL,MLB,23,R,44,56,N,N,N,N,Normal,50,50,50,50,50,50,50,50,50,50,55,50,55,55,50,55,3,30,55,17,1,0,0,0,2,0,5,1,0.0,0,0,0,0
23984,RP,KENLEY JANSEN,HOU,MLB,37,R,56,56,N,N,H,N,Normal,55,50,55,50,50,50,50,50,55,50,55,55,55,50,55,50,3,30,35,261,30,11,2,8,16,6,71,2,0.0,3,0,6,2
43441,SP,MAX MEYER,MIA,MLB,26,R,56,56,N,N,N,N,Normal,50,50,50,50,50,50,50,50,50,50,50,50,55,50,50,50,3,45,50,745,113,30,7,18,60,2,169,3,5.0,6,0,15,5
41614,RP,BOBBY MILLER,LAD,MLB,26,R,49,56,N,H,N,N,Normal,50,50,55,50,50,50,55,50,45,50,55,50,55,55,55,55,5,50,45,118,20,9,2,5,13,3,18,0,1.0,2,0,1,2
27017,SP,COLE RAGANS,KC,MLB,27,L,54,56,N,H,H,N,Fragile,55,45,50,50,45,45,50,45,55,50,50,50,55,45,50,50,5,60,55,810,122,33,7,24,76,1,209,6,2.0,4,0,12,6
42304,RP,RANDY RODRIGUEZ,SF,MLB,26,R,56,56,N,N,N,N,Durable,60,50,50,50,55,50,50,50,60,50,55,50,60,50,50,50,3,35,40,289,38,10,2,9,34,6,65,2,0.0,3,0,7,2
49886,SP,CAM SCHLITTLER,NYY,MLB,24,R,51,56,N,H,H,L,Normal,50,45,55,50,50,45,55,50,55,45,55,55,55,45,55,55,5,50,45,383,46,20,4,10,39,3,87,4,0.0,4,0,11,3
24585,SP,GRANT TAYLOR,CWS,MLB,23,R,56,56,H,N,H,N,Normal,55,55,55,45,55,55,50,45,60,55,55,45,60,55,55,45,4,45,40,794,115,25,4,38,62,2,197,11,2.0,6,0,18,8
21988,RP,PETE FAIRBANKS,TB,MLB,31,R,55,55,N,L,N,H,Normal,55,45,55,55,50,45,50,50,55,45,55,60,55,45,55,55,2,30,45,247,33,12,1,2,27,3,55,0,0.0,2,1,1,0
31742,SP,CLAY HOLMES,NYM,MLB,32,R,55,55,N,L,N,N,Normal,45,50,40,65,40,50,40,60,45,55,45,70,45,50,40,65,6,55,55,784,124,42,5,16,57,0,157,5,2.0,6,0,15,6
23450,SP,CADE HORTON,CHC,MLB,24,R,47,55,N,L,N,N,Normal,45,50,55,50,45,50,55,45,45,50,60,50,50,55,55,50,4,55,45,458,77,23,3,14,32,0,81,6,0.0,3,0,12,1
37675,RP,RAISEL IGLESIAS,ATL,MLB,35,R,55,55,N,N,N,N,Normal,55,60,55,50,50,55,50,45,60,65,55,50,55,60,55,50,3,30,45,252,30,13,0,14,25,5,51,3,1.0,3,0,5,2
38256,RP,JONATHAN LOÁISIGA,NYY,MLB,30,R,55,55,N,L,N,N,Fragile,40,60,55,70,40,55,50,65,45,60,55,75,40,60,55,70,3,30,50,190,28,8,2,3,21,3,44,3,0.0,3,0,2,1
33355,RP,MATT STRAHM,PHI,MLB,33,L,55,55,N,H,N,N,Normal,55,60,65,50,55,60,70,50,55,65,60,50,55,60,65,50,3,30,50,291,49,15,1,7,18,7,80,2,0.0,1,0,8,0
31302,RP,BLAKE TREINEN,LAD,MLB,37,R,55,55,N,N,N,N,Normal,50,50,60,55,50,50,55,50,50,50,65,55,50,50,60,55,4,25,55,228,26,17,4,5,20,6,61,0,0.0,4,0,3,0
40815,RP,ANTHONY BENDER,TOR,MLB,30,R,54,54,N,N,N,N,Normal,55,45,45,65,45,45,40,50,65,50,45,70,55,45,45,65,3,25,55,217,38,7,0,2,19,3,47,3,2.0,2,0,3,0
47511,SP,HUNTER DOBBINS,BOS,AAA,26,R,51,54,N,N,N,N,Normal,45,50,50,50,45,50,50,50,45,50,50,55,45,55,50,55,4,55,40,457,70,25,3,13,29,0,82,5,0.0,2,0,12,2
42314,CL,JOSE A. FERRER,WSH,MLB,25,L,49,54,L,N,N,N,Normal,45,55,50,55,45,55,55,60,45,55,50,55,50,70,50,55,4,30,60,112,20,6,0,1,13,2,21,1,0.0,2,0,1,2
21568,RP,JASON FOLEY,DET,MLB,29,R,54,54,N,H,N,N,Normal,45,55,50,70,40,55,50,60,45,55,55,75,45,55,50,70,4,30,55,295,50,14,0,5,21,3,62,1,0.0,1,0,3,1
619,CL,ROBERT GARCIA,TEX,AAA,29,L,54,54,N,N,N,N,Normal,55,45,50,55,55,45,55,55,55,45,50,55,55,50,50,55,3,25,55,277,36,11,2,8,42,6,51,4,2.0,4,0,6,0
32216,RP,PIERCE JOHNSON,ATL,MLB,34,R,54,54,N,N,N,N,Normal,65,45,50,50,70,45,45,50,65,45,50,50,65,45,50,50,3,30,50,249,28,8,0,7,27,4,69,0,2.0,2,0,5,2
40457,SP,JACK KOCHANOWICZ,LAA,MLB,24,R,46,54,N,L,N,N,Normal,40,55,55,45,35,55,50,45,45,60,55,50,40,60,55,55,4,55,50,353,56,15,4,16,23,2,62,4,0.0,0,0,7,3
34526,RP,DENNIS SANTANA,ATL,MLB,29,R,54,54,N,N,N,N,Normal,50,55,55,60,50,55,50,55,50,55,55,60,50,55,55,60,4,30,55,307,47,15,1,5,32,4,65,4,0.0,4,0,6,1
1151,RP,BENNETT SOUSA,HOU,MLB,30,L,54,54,H,N,N,N,Normal,50,55,55,50,55,55,60,55,50,55,55,50,50,55,55,50,2,30,65,31,4,1,0,0,2,0,13,1,0.0,0,0,0,0
1241,SP,JUSTIN STEELE,CHC,MLB,30,L,54,54,N,N,H,N,Normal,45,55,55,50,50,60,55,65,45,50,55,50,45,55,55,50,5,50,60,813,145,37,7,23,52,0,171,4,5.0,6,0,10,9
38498,RP,BRYAN ABREU,HOU,MLB,28,R,53,53,N,L,N,N,Normal,70,45,55,50,65,45,55,45,75,45,55,50,70,45,55,50,3,30,55,249,28,8,1,8,35,7,69,3,1.0,0,0,2,3
22533,RP,SHANE BAZ,TB,MLB,26,R,47,53,N,N,N,N,Normal,50,50,55,50,45,50,55,50,50,50,55,50,60,55,55,50,4,45,55,326,54,16,3,9,27,2,57,4,2.0,4,0,8,2
27887,SP,NATHAN EOVALDI,TEX,MLB,35,R,53,53,N,N,H,N,Fragile,45,55,55,45,45,55,55,45,45,55,55,45,45,55,55,45,5,55,75,606,70,31,0,26,49,0,129,5,1.0,2,0,13,5
1955,CL,LUCAS ERCEG,KC,MLB,30,R,53,53,L,L,L,N,Normal,55,45,50,65,55,45,50,60,55,45,55,65,55,45,50,65,4,30,45,102,11,6,0,3,10,1,23,0,0.0,0,0,0,1
