ID,POS,Name,ORG,Lev,Age,HT,B,OVR,POT,WE,INT,Prone,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,HT P,GAP P,POW P,EYE P,K P,C FRM,C ARM,IF RNG,IF ARM,OF RNG,OF ARM,SPE,STE,RUN
35931,C,GRIFFIN BANTON,LAD,MLB,26,6' 6',Right,72,72,N,N,Durable,50,55,55,55,50,50,55,55,55,50,50,50,55,55,50,50,55,55,55,50,65,45,35,30,35,25,60,60,65
37984,3B,RANDALL BOLLINGER,TB,MLB,24,6' 3',Right,72,80,H,N,Normal,50,50,65,50,50,50,50,65,50,50,50,50,65,50,50,65,55,65,50,55,20,20,65,75,50,65,65,60,55
35419,3B,RICHARD DIMOND,KCM,MLB,25,6' 0',Left,72,72,N,N,Normal,50,55,60,60,55,50,50,55,55,55,50,55,60,65,55,50,55,60,60,55,20,20,70,70,45,70,65,60,55
30504,LF,ABRAM HICKMAN,CIN,MLB,25,6' 0',Left,72,76,H,N,Fragile,55,70,60,50,50,55,65,55,45,50,55,70,60,50,50,55,70,70,50,50,20,20,50,35,65,70,70,70,65
32924,1B,FLORENTINO LUNA,PHI,MLB,26,6' 7',Right,72,77,N,N,Fragile,60,45,55,70,50,60,50,60,70,50,60,45,55,70,50,65,50,60,70,50,20,20,35,40,25,25,25,30,25
35352,3B,T.J. MCKAY,NYM,MLB,25,6' 3',Left,72,72,N,N,Durable,55,50,65,50,50,55,50,60,50,50,55,50,65,50,50,60,50,65,50,50,25,25,60,65,40,65,35,35,30
37656,LF,CORY MOSTELLER,TOR,MLB,26,5' 11',Right,72,72,H,L,Fragile,50,55,65,55,50,50,55,70,55,50,50,55,65,55,50,55,55,75,55,50,25,20,50,50,55,70,65,70,80
37017,DH,THOMAS NISSEN,SAPP,INT,27,6' 2',Right,72,75,H,N,Fragile,60,60,55,55,50,65,70,65,55,55,60,60,55,50,50,70,70,60,55,55,20,20,45,30,55,55,55,75,75
30977,1B,CHRIS SANANGO,KCM,MLB,24,6' 2',Right,72,80,H,N,Normal,50,50,60,55,65,55,50,65,55,70,50,50,55,55,60,60,60,65,55,65,20,20,35,25,25,20,50,25,20
41105,LF,RALPH BOS,DET,MLB,25,6' 2',Left,71,71,H,H,Normal,60,65,55,50,60,55,55,50,45,50,60,65,55,50,65,60,65,55,50,60,20,20,25,35,50,60,65,65,60
37500,2B,LUKE CANSDALE,HOU,MLB,26,6' 4',Right,71,74,N,N,Fragile,55,60,55,50,55,55,60,55,50,55,55,60,55,50,55,60,60,60,50,55,20,20,65,65,45,65,65,70,80
37760,LF,ROBERT DEMETER,KCM,MLB,25,6' 4',Right,71,71,N,N,Fragile,50,75,55,55,60,50,75,60,55,65,50,75,55,55,60,50,75,55,55,60,20,25,45,35,65,55,75,45,60
34789,3B,GRANGER DICARO,ANA,MLB,25,6' 1',Right,71,71,L,L,Normal,70,50,55,45,55,70,50,55,45,60,70,50,55,45,55,70,50,55,45,55,20,20,50,65,25,60,50,55,35
36059,CF,HENDERSON MACIAS,STL,MLB,28,6' 5',Right,71,75,L,H,Wrecked,55,70,50,75,45,55,80,50,80,45,55,70,45,70,45,55,70,50,75,45,20,20,60,35,80,65,60,75,70
31607,3B,LINC BRIDGERS,PIT,MLB,24,6' 2',Left,70,70,H,N,Fragile,60,50,55,50,50,60,45,55,50,50,60,50,55,50,50,60,50,55,50,50,20,20,65,65,55,65,55,45,60
29758,DH,CHRISTOPHER LONGO,PIT,MLB,25,6' 3',Left,70,70,N,N,Normal,65,50,55,55,55,65,45,50,55,55,70,50,55,55,55,65,50,55,55,55,20,20,40,40,30,30,35,55,65
30950,RF,JOEL ADAMS JR.,TOR,MLB,24,6' 5',Left,69,69,H,H,Fragile,55,80,70,55,35,55,75,65,50,35,55,80,70,55,35,55,80,70,55,35,20,20,50,40,70,60,80,60,70
32941,1B,DANNY FRIES,MON,MLB,24,6' 2',Left,69,69,H,L,Normal,55,55,75,45,45,50,50,65,45,45,55,55,75,45,50,55,55,75,50,50,20,20,55,30,25,35,30,50,45
41019,RF,TONY FRITZINGER,CWS,MLB,25,6' 0',Right,69,69,L,N,Normal,50,60,65,50,50,50,65,75,50,50,50,60,65,50,50,50,75,65,50,50,25,20,30,50,55,65,65,60,75
38244,CF,BUTCH RAUSCHER,PIT,MLB,26,6' 1',Right,69,72,H,N,Durable,60,55,50,50,55,60,55,50,50,55,60,55,50,50,55,65,55,50,50,55,20,20,55,40,70,65,65,65,70
19198,C,HYEONG-SOON SHIM,TOR,MLB,32,6' 0',Right,69,69,N,H,Wrecked,60,35,50,65,25,65,35,55,70,30,60,35,50,65,25,60,35,50,65,25,80,60,25,35,20,40,25,30,30
32839,1B,MARK DALLIN,ARI,MLB,25,6' 5',Right,68,68,N,N,Durable,55,65,55,50,50,55,70,55,55,50,55,65,55,50,50,55,65,60,50,50,20,20,60,65,40,60,70,35,45
33388,3B,JAXON DESOTO,KCR,MLB,26,6' 2',Switch,68,77,L,N,Normal,50,55,55,50,55,50,50,50,50,55,50,55,55,50,55,55,55,65,50,55,20,20,70,70,55,70,60,60,60
