ID,POS,Name,ORG,Lev,Age,HT,B,T,OVR,POT,LEA,WE,INT,Prone,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,HT P,GAP P,POW P,EYE P,K P,C FRM,C ARM,IF RNG,IF ARM,TDP,OF RNG,SPE,STE,RUN,AB,1B,2B,3B,HR,BB,IBB,HP,SF,CI,SO,PI/PA,SB,CS,G,SBA,RTO,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
40743,3B,JIRAH CHUN,TEX,MLB,25,6' 0',R,R,80,80,H,H,N,Fragile,55,60,70,50,55,55,60,70,50,55,55,60,70,50,55,55,60,70,50,55,30,25,60,65,45,40,35,20,20,472,76,19,1,24,41,0,4,3,0,121,3.72,2,0,131,0,0,210,190,50,47,24,19,25,12,20,3,0.0,0.0
38790,1B,CHRISTIAN CORNEJO,LAD,MLB,25,6' 4',R,R,80,80,N,N,N,Normal,75,55,35,60,65,75,55,35,60,65,75,55,35,55,65,75,55,35,60,65,20,20,60,55,50,45,65,60,70,378,68,17,5,1,51,1,0,4,0,79,4.13,26,4,115,0,0,152,144,19,17,18,8,13,7,12,0,0.0,0.0
17091,LF,CHUCK CRABLE,STL,AAA,23,6' 5',L,L,53,80,L,N,N,Normal,55,55,50,45,60,50,50,50,45,60,55,55,50,45,60,60,55,55,50,60,20,20,50,40,20,60,65,55,50,152,21,8,3,5,12,0,0,3,0,32,3.53,7,2,40,0,0,51,51,13,12,8,3,13,0,14,1,0.0,3.6
36202,1B,LEÓN DE JESUS,CLE,MLB,27,6' 4',L,L,80,80,N,N,N,Normal,55,70,55,70,65,55,60,55,65,60,55,75,60,75,65,55,75,55,70,65,20,20,40,40,30,35,65,55,75,550,89,30,6,14,72,6,2,4,0,113,4.27,1,0,136,0,0,213,203,32,30,13,7,10,5,11,0,0.0,0.0
36682,LF,LUCIO DE LA CRUZ,KCR,MLB,26,6' 1',L,L,80,80,N,H,H,Normal,50,55,75,50,75,50,55,70,50,75,50,55,80,50,75,50,55,75,50,75,20,20,45,40,20,60,35,40,40,484,91,31,1,33,37,3,5,4,0,78,3.52,1,0,39,0,0,40,40,3,3,2,2,7,3,9,1,0.0,-0.3
33388,3B,JAXON DESOTO,KCR,MLB,25,6' 2',S,R,62,80,L,L,N,Normal,50,55,50,50,55,50,55,45,50,55,50,55,50,50,55,55,55,65,55,55,20,20,70,70,70,55,60,60,60,279,58,14,3,5,29,1,1,0,0,62,3.63,6,1,137,0,0,150,143,44,32,26,14,16,2,28,5,0.0,0.0
36637,1B,YANIEL DI MAGGIO,STL,MLB,26,5' 11',R,R,80,80,N,N,H,Normal,55,70,55,50,70,60,70,55,50,70,55,70,55,50,70,55,70,55,50,70,20,20,50,50,60,40,70,70,60,621,93,42,10,14,56,10,8,8,0,108,3.51,60,10,154,0,0,244,232,42,39,16,9,11,3,11,0,0.0,0.0
34617,3B,BALTESAR DIAZ,LAD,MLB,24,6' 0',S,R,80,80,N,H,N,Normal,60,60,65,55,65,65,65,80,65,80,55,55,60,50,60,60,60,65,55,65,20,20,65,70,60,40,60,40,60,481,90,41,5,19,46,4,11,7,0,91,3.77,2,1,129,0,0,214,201,48,43,33,21,21,16,30,7,0.0,0.0
40121,1B,WYATT DORF,CHC,MLB,24,6' 4',R,R,68,80,N,N,N,Normal,55,55,50,65,55,55,55,50,65,60,55,55,50,65,55,65,80,70,65,75,20,20,65,55,65,30,65,50,60,546,93,29,3,9,64,0,6,5,1,105,4.04,0,0,152,0,0,238,232,43,36,22,15,16,3,20,3,0.0,0.0
39546,LF,MARK EASTER,CHC,MLB,23,6' 2',R,R,80,80,N,N,N,Normal,60,60,55,45,60,70,65,75,50,80,55,55,55,45,55,60,60,55,45,60,20,20,45,35,40,65,55,25,60,333,72,20,0,19,33,2,3,3,0,54,3.43,0,0,86,0,0,111,109,24,21,15,6,25,8,26,1,0.0,-0.5
27592,LF,GONZALO ENRIQUEZ,MIL,MLB,23,6' 2',L,R,46,80,N,N,N,Normal,55,50,50,50,45,55,50,50,50,45,55,50,50,50,45,70,55,70,75,50,20,20,40,30,45,55,50,35,30,314,49,15,0,9,21,0,1,2,0,81,3.66,4,1,95,0,0,104,103,21,14,8,4,12,0,49,1,0.0,1.2
34499,RF,TOMMY EZZELL,HOU,MLB,24,6' 0',L,R,70,80,N,N,L,Fragile,55,60,55,50,55,50,60,50,50,50,55,65,55,50,55,60,70,60,50,60,20,20,60,55,50,70,70,50,70,526,80,42,4,13,36,3,5,3,0,100,3.41,10,6,143,0,0,194,191,43,38,21,12,37,10,67,6,0.0,1.9
38719,LF,NELSON FROMETA,PHI,MLB,26,6' 2',L,R,52,80,N,N,H,Normal,50,50,50,60,55,50,50,50,55,50,50,55,55,65,55,70,55,60,75,65,20,20,45,30,45,55,50,60,65,513,66,24,3,12,51,0,10,10,0,113,3.88,19,0,155,0,0,191,182,54,45,21,6,40,9,45,2,0.0,0.5
33067,RF,SANTIAGO GOMAR,TEX,MLB,25,6' 5',R,R,80,80,H,H,N,Fragile,70,45,50,55,60,70,45,50,55,60,70,45,50,55,60,70,45,50,55,60,20,20,55,60,55,60,45,55,65,558,118,19,1,12,50,0,9,4,0,98,3.90,13,9,161,0,0,216,211,53,37,35,15,36,3,47,3,0.0,0.3
31370,RF,MIKE GONZALEZ,WAS,MLB,24,6' 1',L,L,80,80,N,H,H,Normal,60,65,60,50,65,55,65,55,45,65,60,65,60,50,65,60,65,60,50,65,20,20,45,45,20,60,70,60,65,454,91,33,5,12,40,2,1,7,0,67,3.59,24,5,88,0,0,128,127,22,18,21,12,19,2,24,2,0.0,-0.1
41125,1B,BILLY GONZÁLES,BAL,MLB,24,6' 7',L,R,67,80,N,N,H,Normal,55,55,55,60,50,50,50,50,50,45,55,55,60,65,55,55,55,75,60,55,20,20,45,55,45,45,40,40,35,465,69,26,1,26,62,2,9,2,1,110,3.75,0,1,145,0,0,181,166,29,22,18,11,29,3,37,0,0.0,-0.4
32630,CF,FRED GREENWELL,TEX,MLB,25,6' 2',L,L,80,80,L,L,N,Fragile,50,60,75,70,40,50,55,70,60,35,50,60,80,70,40,55,80,80,70,40,20,20,50,50,20,70,65,70,75,496,61,19,1,33,57,4,21,6,0,204,4.20,53,13,197,0,0,210,209,56,53,40,25,43,14,46,4,0.0,0.1
28873,1B,KARVER HAMAN,CLE,MLB,22,6' 4',R,R,51,80,L,N,N,Normal,50,50,50,50,50,55,55,55,50,55,50,50,50,50,50,75,55,70,50,75,20,20,50,30,45,35,60,35,45,180,26,11,1,10,15,0,6,0,0,55,3.95,0,0,22,0,0,30,29,4,4,2,0,6,1,3,0,0.0,0.0
27849,1B,SEN-FU HO,SD,MLB,23,6' 5',R,R,42,80,H,H,N,Normal,50,50,45,55,50,50,50,45,55,50,50,50,45,50,50,75,65,45,55,65,20,25,35,65,25,40,40,20,30,143,25,8,0,2,8,0,2,1,0,43,3.69,0,0,38,0,0,42,40,7,6,4,1,3,2,0,0,0.0,0.0
11292,C,SAMUEL HOLLOWAY,NYM,MLB,32,6' 3',R,R,80,80,L,N,N,Normal,45,40,50,80,45,45,40,50,80,45,45,40,50,75,45,45,40,50,80,45,80,75,30,60,40,25,20,20,25,393,87,14,1,6,71,0,4,4,0,116,4.65,0,0,119,110,21,26,26,9,9,12,12,0,0,0,0,9.2,0.0
36730,1B,BART IBARRA,LAD,MLB,26,5' 11',R,R,80,80,N,H,N,Normal,65,65,55,55,55,65,65,55,55,55,65,65,55,55,55,65,65,55,55,55,20,20,60,40,55,45,65,65,75,491,86,39,7,20,39,1,7,2,0,98,3.69,32,6,22,0,0,54,44,2,0,8,3,7,0,10,0,0.0,0.0
30370,C,KENT JEFFRIE,BAL,MLB,25,6' 2',R,R,67,80,N,L,L,Fragile,50,50,55,55,55,50,50,55,55,55,50,50,55,55,55,50,50,60,60,55,65,70,35,60,25,35,35,30,25,307,48,16,0,11,30,0,2,4,0,60,3.71,0,0,81,77,17,17,14,7,4,5,3,1,1,2,0,-2.7,0.8
38174,SS,JONATHAN JONES,CWS,AAA,23,6' 4',L,R,44,80,N,N,N,Normal,55,65,40,40,50,50,60,40,40,45,55,70,45,40,50,70,80,65,50,55,20,20,70,70,55,55,55,55,65,246,42,10,1,1,8,0,2,0,0,65,3.28,5,2,91,0,0,184,170,25,15,26,9,20,6,38,10,0.0,0.0
35491,2B,GILDARDO LARES,MON,MLB,25,6' 2',R,R,80,80,N,H,N,Durable,70,75,55,55,50,70,75,55,60,50,70,70,55,55,50,70,75,55,55,50,20,20,70,75,70,65,65,70,80,601,117,40,6,24,64,0,6,1,0,156,4.08,60,14,177,0,0,359,332,59,44,63,37,54,12,79,17,0.0,0.0
23890,RF,CAM LINDAHL,SF,MLB,24,6' 2',L,L,45,80,N,N,N,Normal,50,45,45,45,50,50,45,45,45,50,50,45,45,45,50,70,55,55,45,65,20,20,35,45,20,60,35,45,20,433,94,19,1,6,26,0,5,2,0,111,3.66,3,3,122,0,0,192,187,33,32,17,8,39,11,56,2,0.0,2.6
38869,RF,NICOLAS LOVATO,MON,AAA,23,6' 3',S,L,47,80,N,H,N,Normal,55,50,45,55,50,55,55,50,55,55,50,50,45,50,50,55,55,55,55,65,25,20,35,40,20,60,45,40,60,25,3,1,0,0,6,0,0,0,0,6,3.39,0,0,8,0,0,11,11,2,2,3,3,2,0,2,0,0.0,-0.9
31185,LF,MÁXIMO LOYA,PIT,MLB,24,6' 1',R,R,80,80,N,H,N,Normal,60,50,60,60,55,60,50,65,60,55,55,50,60,60,55,60,50,65,60,55,20,20,50,45,40,65,55,45,55,435,84,25,0,16,45,2,4,4,0,97,3.98,0,0,112,0,0,160,160,32,31,23,14,23,9,40,2,0.0,0.6
32071,1B,MAHIR MANNES,TEX,MLB,25,6' 3',R,L,79,80,N,H,N,Fragile,50,55,65,80,55,50,60,70,80,60,50,55,60,80,55,55,55,65,80,65,20,20,40,45,20,45,50,50,50,493,80,24,4,25,82,1,0,3,1,109,4.94,9,6,72,0,0,103,99,12,11,6,1,3,0,11,0,0.0,0.0
41057,C,RAMÓN MARROQUIN,CWS,MLB,30,6' 5',S,R,80,80,L,N,N,Normal,50,55,65,80,45,45,50,50,75,40,50,55,70,80,45,50,55,65,80,45,60,70,45,70,35,50,25,20,20,537,72,22,0,23,91,1,5,8,2,197,4.77,0,0,104,7,2,127,119,39,31,22,16,15,6,20,4,0.4,0.1
25128,3B,GABRIEL MARTÍNEZ,BAL,MLB,30,6' 2',R,R,80,80,N,N,H,Wrecked,50,50,65,70,60,50,50,70,75,65,50,50,65,70,60,50,50,65,70,60,20,25,55,65,65,40,35,45,60,213,36,13,0,20,25,0,3,2,0,37,4.36,2,0,64,0,0,72,70,13,6,10,6,9,3,12,0,0.0,0.0
37843,RF,PHILIPPE MASSICOTTE,STL,MLB,23,6' 4',R,R,80,80,N,N,L,Normal,60,55,60,50,55,65,60,70,55,60,60,55,55,50,50,60,55,60,50,55,20,20,35,50,30,55,60,35,45,268,57,20,3,12,23,2,4,1,0,41,3.64,0,0,44,0,0,50,50,14,13,2,2,11,2,12,0,0.0,0.8
36772,C,HOBART MAYO,CWS,MLB,25,6' 0',S,R,80,80,N,N,N,Normal,55,50,55,50,50,55,50,55,50,50,55,50,55,50,50,55,50,65,50,50,80,60,25,45,25,20,25,20,25,498,110,19,0,29,37,0,3,2,0,108,3.77,0,0,119,116,30,35,35,16,16,8,7,0,0,0,0,5.8,0.0
36717,LF,LEWIS MAZAN,ANA,MLB,24,6' 0',R,L,71,80,L,L,N,Normal,60,55,50,55,60,65,65,60,65,75,60,55,50,55,55,60,65,65,55,65,20,20,45,25,20,60,40,30,25,449,79,28,2,21,49,0,1,4,0,85,3.86,0,0,132,0,0,142,140,31,26,24,14,18,2,26,1,0.0,-0.1
37195,1B,CARTER MCTAGGART,KCR,MLB,28,6' 2',R,R,77,80,L,H,N,Fragile,70,60,55,60,50,70,60,55,60,50,70,60,55,60,50,80,65,65,60,55,20,20,50,65,45,45,40,50,50,600,102,35,5,11,53,0,5,3,1,139,3.93,4,2,154,0,0,203,193,21,19,8,4,18,5,16,0,0.0,0.0
31063,CF,LEBOHANG MKABELA,OAK,MLB,24,6' 2',R,R,80,80,N,N,N,Fragile,55,60,60,50,55,55,75,70,60,65,55,60,55,50,55,55,60,60,50,55,20,20,60,60,50,70,50,60,55,295,47,16,1,13,36,0,0,1,0,70,3.96,0,0,78,0,0,119,112,23,22,17,14,20,5,30,6,0.0,-0.9
38438,C,ALEJANDRO MOLINA,HOU,MLB,25,6' 4',R,R,80,80,N,N,N,Normal,65,50,55,55,70,65,50,55,60,70,65,50,55,55,65,70,50,55,55,70,70,60,30,35,25,30,40,35,30,477,95,33,2,18,55,3,9,7,0,80,3.95,0,0,124,99,21,30,29,12,11,10,8,3,0,2,0,6.3,0.7
32487,DH,KENNY MOSS,TB,MLB,23,5' 11',R,R,80,80,L,H,L,Fragile,65,60,75,60,75,70,65,80,70,80,65,55,70,60,70,65,60,75,60,75,20,20,60,45,65,40,40,50,55,345,69,25,1,20,35,2,2,1,0,57,4.28,5,2,36,0,0,57,49,11,7,11,5,17,3,17,1,0.0,0.9
35806,RF,CHASE MOYER,MIL,MLB,32,5' 10',L,L,80,80,N,H,N,Iron Man,50,65,70,55,55,50,50,55,50,50,50,75,80,65,55,50,65,70,55,55,20,20,30,45,20,55,45,45,65,593,77,27,2,36,75,6,1,6,0,130,3.83,0,0,83,0,0,116,116,26,22,15,10,16,4,32,1,0.0,-1.1
37017,LF,THOMAS NISSEN,SEA,MLB,26,6' 2',R,R,78,80,N,H,N,Fragile,65,60,55,50,50,65,70,65,55,55,60,60,55,50,50,70,70,60,50,55,20,20,45,30,40,55,60,70,80,30,3,2,1,0,3,0,0,0,0,2,3.67,0,1,7,0,0,11,10,2,2,1,0,1,0,2,0,0.0,-0.2
24122,C,CLEMENTE ORELLANA,NYM,MLB,21,6' 0',L,R,54,80,L,H,N,Normal,45,45,55,40,45,45,45,50,40,40,45,45,55,40,45,60,50,55,50,55,65,70,30,60,25,40,35,30,35,91,15,6,0,1,3,0,2,1,0,18,3.26,0,0,25,24,5,8,7,0,0,2,0,1,0,1,0,-1.1,0.0
32977,RF,JONATHAN PACHECO,SEA,MLB,24,6' 1',L,L,80,80,N,H,N,Normal,55,65,55,50,65,50,55,45,45,50,60,70,55,55,70,55,65,55,50,65,20,20,45,40,20,60,65,50,40,559,100,35,3,20,51,2,7,6,0,105,3.50,3,2,152,0,0,204,201,49,42,25,16,39,9,70,2,0.0,-1.4
36065,2B,HUGO PALAFOX,NYM,MLB,29,6' 0',S,R,80,80,N,H,N,Fragile,50,50,60,65,60,50,55,60,65,65,50,50,55,65,60,65,60,70,70,65,20,20,65,45,70,50,25,55,75,566,94,40,0,28,59,1,6,3,0,106,4.08,13,8,143,0,0,305,287,59,37,24,14,54,17,68,12,0.0,0.0
30646,3B,RODRIGO PEGUERO,MIN,MLB,25,5' 9',R,R,80,80,L,H,H,Fragile,80,75,40,55,75,80,75,40,55,75,80,75,40,55,75,80,75,40,55,75,20,20,60,65,45,45,80,55,65,596,134,50,4,10,65,2,3,4,0,74,3.68,20,10,142,0,0,253,239,59,49,29,22,16,8,22,8,0.0,0.0
34092,2B,JAVY PEINADO,CHC,MLB,24,6' 5',R,R,80,80,N,H,N,Durable,70,60,55,65,65,75,65,65,70,75,65,60,55,65,60,70,60,65,65,65,20,20,75,60,60,40,65,55,75,593,110,32,1,26,64,0,14,2,0,115,4.32,0,3,145,0,0,337,319,49,38,55,31,70,17,82,17,0.0,0.0
39418,3B,JOSHUA PIKES,NYY,MLB,23,6' 1',L,R,54,80,L,N,N,Normal,65,50,50,50,45,60,45,45,45,45,65,50,55,50,50,80,50,60,65,55,20,20,50,65,35,30,50,35,40,354,60,14,0,12,36,1,9,2,0,97,3.80,2,3,99,0,0,143,134,44,32,12,6,10,7,14,2,0.0,0.0
38718,CF,JOEL PINCHON,NYY,MLB,25,6' 3',R,R,80,80,H,H,H,Normal,65,80,50,60,55,65,80,50,65,60,65,80,50,60,55,65,80,50,70,55,20,20,50,35,40,75,80,70,65,539,81,41,9,10,67,0,4,7,0,120,4.11,50,10,129,0,0,191,191,69,68,49,40,47,24,47,14,0.0,0.6
34141,1B,HALEF PORTEIRO,NYM,MLB,25,6' 3',R,R,80,80,N,N,N,Normal,70,60,75,75,50,70,60,75,75,50,70,60,75,75,50,70,60,80,75,50,20,20,30,35,25,35,50,65,70,596,92,43,7,37,85,1,9,3,0,143,4.43,11,4,8,0,0,16,16,2,2,1,1,1,1,0,0,0.0,0.0
36828,DH,QUINTON QUEVEDO,MIN,MLB,26,6' 7',R,R,75,80,N,N,N,Normal,50,55,80,55,50,50,60,80,55,50,50,55,80,55,50,55,55,80,55,65,20,20,25,40,20,40,40,30,40,551,84,21,1,38,57,1,9,6,0,148,3.94,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.0
37171,LF,KASIM RAI,TB,MLB,22,6' 4',R,R,80,80,N,N,N,Normal,55,55,65,65,55,60,60,70,65,60,55,55,60,60,50,60,55,65,70,55,20,20,35,55,30,60,55,60,55,363,65,23,3,23,48,3,6,4,0,74,4.04,15,6,102,0,0,131,131,35,33,16,8,21,3,31,3,0.0,-0.1
40044,CF,WES RAMÍREZ,CLE,MLB,24,6' 5',R,R,80,80,N,H,N,Normal,55,60,60,50,65,60,65,70,50,75,55,55,55,45,60,55,60,60,50,65,20,20,45,50,45,70,75,60,65,596,113,24,4,24,43,1,3,5,0,118,3.59,0,1,154,0,0,212,212,65,61,47,32,40,14,55,6,0.0,1.2
34004,LF,GAD RASOOL,MON,MLB,25,6' 2',L,L,80,80,N,N,H,Fragile,55,65,65,55,50,50,60,55,50,50,55,65,70,55,55,55,70,65,55,50,20,20,45,55,35,65,65,50,65,401,69,22,5,15,46,5,6,6,0,84,3.70,1,0,103,0,0,144,143,30,27,18,12,23,5,34,4,0.0,-0.5
39118,1B,ERIK REYNOLDS,HOU,MLB,24,6' 0',R,R,80,80,H,N,N,Fragile,50,60,70,50,65,55,65,80,55,75,50,60,65,50,60,50,60,70,50,65,20,20,60,45,65,35,55,50,70,329,35,26,2,14,33,0,11,3,0,67,3.62,3,2,19,0,0,34,30,7,5,8,1,11,1,12,1,0.0,0.0
40729,LF,FRANKLIN RUDD,MON,MLB,24,6' 2',R,R,80,80,L,N,H,Normal,65,55,80,50,60,65,60,80,50,65,60,55,80,50,55,65,55,80,50,60,45,50,40,55,35,65,45,65,70,536,77,38,3,38,67,9,3,4,0,101,3.69,24,8,102,0,0,144,142,34,29,22,16,23,3,41,4,0.0,-0.1
30977,1B,CHRIS SANANGO,KCM,MLB,23,6' 2',R,R,74,80,N,H,N,Normal,55,50,60,50,65,55,50,65,55,70,50,50,60,50,65,60,60,65,55,65,20,20,35,25,30,25,50,25,20,619,118,29,4,21,44,5,8,6,0,106,3.65,1,0,112,0,0,184,174,26,18,12,5,11,1,7,0,0.0,0.0
34529,3B,BRANDON SANCHEZ,WAS,MLB,25,6' 3',R,R,80,80,N,H,H,Normal,60,70,80,50,50,60,70,80,50,50,60,70,80,50,50,60,70,80,50,50,20,20,65,75,65,40,60,65,75,582,88,29,7,31,61,8,8,5,0,161,3.73,26,7,156,0,0,288,270,61,56,34,24,39,20,40,9,0.0,-0.2
36104,RF,DANIEL SANTILLAN,PIT,MLB,28,6' 4',R,R,80,80,H,H,H,Fragile,65,65,80,50,40,65,70,80,55,40,65,65,80,50,40,70,70,80,55,40,20,20,30,65,30,65,60,80,80,583,83,21,1,39,56,4,0,4,0,224,3.95,79,6,140,0,0,185,185,43,36,29,16,27,8,48,3,0.0,1.2
29361,2B,BRANDON SCHILLECI,TEX,MLB,24,6' 3',R,R,80,80,L,L,H,Fragile,70,60,80,55,55,70,65,80,55,55,70,60,75,55,55,70,70,80,55,55,20,20,65,65,60,35,70,55,70,378,61,26,0,25,34,0,2,1,0,70,3.91,16,3,107,0,0,205,191,33,26,55,33,41,5,51,5,0.0,0.0
38563,LF,ANTHONY SCHORER,OAK,MLB,26,6' 0',R,R,80,80,N,H,N,Normal,80,50,55,50,55,80,55,55,50,55,80,50,55,50,55,80,50,60,50,65,20,20,45,35,40,70,65,70,80,586,121,37,10,19,58,4,6,4,0,122,3.74,34,9,144,0,0,185,183,39,35,24,16,44,12,64,4,0.0,2.1
40999,RF,DALE SCHWIMER,KCR,MLB,25,6' 3',L,L,80,80,N,H,N,Fragile,65,55,55,45,65,60,50,50,40,55,70,60,60,45,70,65,55,55,45,65,20,20,30,45,20,60,55,50,60,50,8,3,1,1,3,1,0,0,0,13,3.49,0,1,13,0,0,18,18,2,2,1,1,1,0,3,0,0.0,0.1
